SimulationID,NodeID,NodeType,EnergyConsumed
1,1,Client,"1925,19190"
1,2,Client,"692,10356"
1,3,Client,"563,17274"
1,4,Client,"1843,71613"
1,5,Client,"1016,09036"
1,6,Client,"1819,00289"
1,7,Malicious Server,"115,27418"
1,8,Malicious Server,"55,06952"
1,9,Benevolent Server,"11,36802"
1,10,Benevolent Server,"21,88142"
1,11,Benevolent Server,"21,83728"
1,12,Benevolent Server,"11,65703"
1,13,Benevolent Server,"26,35920"
1,14,Benevolent Server,"52,03622"
1,15,Benevolent Server,"82,54020"
1,16,Benevolent Server,"31,25801"
1,17,Benevolent Server,"62,34472"
1,18,Benevolent Server,"29,12303"
1,19,Relay/Other,"48,02220"
1,20,Relay/Other,"45,77973"
1,21,Relay/Other,"144,03230"
1,22,Relay/Other,"91,70979"
1,23,Relay/Other,"97,70581"
1,24,Relay/Other,"30,60808"
1,25,Relay/Other,"104,80471"
1,26,Relay/Other,"66,87757"
1,27,Relay/Other,"13,39782"
1,28,Relay/Other,"27,08707"
1,29,Relay/Other,"143,37359"
1,30,Relay/Other,"60,30460"
2,1,Client,"1601,93043"
2,2,Client,"1751,92636"
2,3,Client,"2054,75490"
2,4,Client,"1200,24163"
2,5,Client,"1531,95613"
2,6,Client,"1968,35186"
2,7,Malicious Server,"159,50689"
2,8,Malicious Server,"125,47140"
2,9,Benevolent Server,"50,49347"
2,10,Benevolent Server,"28,23054"
2,11,Benevolent Server,"75,48485"
2,12,Benevolent Server,"65,02133"
2,13,Benevolent Server,"79,00560"
2,14,Benevolent Server,"77,28317"
2,15,Benevolent Server,"34,33434"
2,16,Benevolent Server,"34,45055"
2,17,Benevolent Server,"53,92641"
2,18,Benevolent Server,"17,70140"
2,19,Relay/Other,"70,70333"
2,20,Relay/Other,"34,74791"
2,21,Relay/Other,"96,96874"
2,22,Relay/Other,"36,91332"
2,23,Relay/Other,"61,55384"
2,24,Relay/Other,"124,80292"
2,25,Relay/Other,"42,68154"
2,26,Relay/Other,"158,85383"
2,27,Relay/Other,"67,45424"
2,28,Relay/Other,"69,28835"
2,29,Relay/Other,"38,94545"
2,30,Relay/Other,"80,58442"
3,1,Client,"1424,78505"
3,2,Client,"1071,49654"
3,3,Client,"575,68062"
3,4,Client,"868,18395"
3,5,Client,"1748,22224"
3,6,Client,"975,70437"
3,7,Malicious Server,"200,00950"
3,8,Malicious Server,"130,56269"
3,9,Benevolent Server,"39,02510"
3,10,Benevolent Server,"53,17127"
3,11,Benevolent Server,"24,51659"
3,12,Benevolent Server,"13,11582"
3,13,Benevolent Server,"31,59018"
3,14,Benevolent Server,"46,82136"
3,15,Benevolent Server,"66,98681"
3,16,Benevolent Server,"24,15218"
3,17,Benevolent Server,"67,61726"
3,18,Benevolent Server,"67,39282"
3,19,Relay/Other,"61,32616"
3,20,Relay/Other,"158,76946"
3,21,Relay/Other,"20,98098"
3,22,Relay/Other,"16,95542"
3,23,Relay/Other,"16,35277"
3,24,Relay/Other,"127,51819"
3,25,Relay/Other,"33,31284"
3,26,Relay/Other,"64,91516"
3,27,Relay/Other,"10,22479"
3,28,Relay/Other,"82,15030"
3,29,Relay/Other,"31,36021"
3,30,Relay/Other,"84,66641"
4,1,Client,"1168,81320"
4,2,Client,"1401,11003"
4,3,Client,"859,18490"
4,4,Client,"1242,65054"
4,5,Client,"833,32394"
4,6,Client,"2023,86431"
4,7,Malicious Server,"141,00275"
4,8,Malicious Server,"88,62039"
4,9,Benevolent Server,"28,23410"
4,10,Benevolent Server,"19,08746"
4,11,Benevolent Server,"43,59037"
4,12,Benevolent Server,"52,66917"
4,13,Benevolent Server,"49,60803"
4,14,Benevolent Server,"38,81331"
4,15,Benevolent Server,"64,97225"
4,16,Benevolent Server,"15,74410"
4,17,Benevolent Server,"43,21146"
4,18,Benevolent Server,"12,89724"
4,19,Relay/Other,"33,91715"
4,20,Relay/Other,"26,87486"
4,21,Relay/Other,"45,84994"
4,22,Relay/Other,"21,52201"
4,23,Relay/Other,"59,40226"
4,24,Relay/Other,"27,44458"
4,25,Relay/Other,"125,09085"
4,26,Relay/Other,"42,65126"
4,27,Relay/Other,"49,66471"
4,28,Relay/Other,"59,06669"
4,29,Relay/Other,"29,63249"
4,30,Relay/Other,"114,78879"
5,1,Client,"2242,84997"
5,2,Client,"1638,19718"
5,3,Client,"1517,14278"
5,4,Client,"1503,97733"
5,5,Client,"1218,40172"
5,6,Client,"2137,70658"
5,7,Malicious Server,"81,34596"
5,8,Malicious Server,"186,67722"
5,9,Benevolent Server,"24,44900"
5,10,Benevolent Server,"31,67020"
5,11,Benevolent Server,"90,97757"
5,12,Benevolent Server,"90,35171"
5,13,Benevolent Server,"16,12866"
5,14,Benevolent Server,"22,53986"
5,15,Benevolent Server,"42,78701"
5,16,Benevolent Server,"64,33819"
5,17,Benevolent Server,"46,47232"
5,18,Benevolent Server,"69,07135"
5,19,Relay/Other,"56,46637"
5,20,Relay/Other,"61,43160"
5,21,Relay/Other,"149,97821"
5,22,Relay/Other,"84,40996"
5,23,Relay/Other,"61,89690"
5,24,Relay/Other,"49,80966"
5,25,Relay/Other,"63,86711"
5,26,Relay/Other,"22,53597"
5,27,Relay/Other,"48,10140"
5,28,Relay/Other,"60,18399"
5,29,Relay/Other,"115,33072"
5,30,Relay/Other,"36,53945"
