ID,Timestamp,Model,Satisfied,Avg_Satisfaction,Avg_Path_Length,Client_Energy,Malicious_Energy,Benevolent_Energy,Relay_Energy,Avg_Sensor_Energy
1,2026-03-22 08:01:07,PowerTrust,YES,0.79048,4.71761,19499.2921,2069.06929,1804.85502,5191.10882,357.05407
2,2026-03-22 08:02:14,PowerTrust,YES,0.83561,3.57522,16490.55252,3697.36703,1793.53771,3891.27478,323.40915
3,2026-03-22 08:03:21,PowerTrust,YES,0.79318,5.18349,14701.32636,7475.65963,837.52582,2432.83925,318.09189
4,2026-03-22 08:04:28,PowerTrust,YES,0.84908,4.51525,20150.03317,6282.08609,1042.55279,2131.26699,370.07424
5,2026-03-22 08:05:35,PowerTrust,YES,0.79577,5.01879,18334.7234,6903.70093,1605.52818,6360.54463,415.05621
6,2026-03-22 08:06:42,PowerTrust,YES,0.83822,4.77069,15376.53164,2104.53255,560.8544,5382.51994,292.80548
7,2026-03-22 08:07:49,PowerTrust,YES,0.8186,3.75293,11220.99898,2841.69678,1192.25761,7137.70554,279.90824
8,2026-03-22 08:08:56,PowerTrust,YES,0.83602,3.76656,15657.69338,6103.72241,844.52464,5627.94776,352.9236
9,2026-03-22 08:09:03,PowerTrust,YES,0.77128,5.10334,20881.28013,6946.52908,795.3025,7022.38431,445.5687
10,2026-03-22 08:10:10,PowerTrust,YES,0.85526,3.47584,18154.12493,2903.47115,1035.40748,4244.63302,329.22046
11,2026-03-22 08:11:17,PowerTrust,YES,0.76444,4.7246,15173.77784,7147.93813,1107.0427,5553.81373,362.28216
12,2026-03-22 08:12:24,PowerTrust,YES,0.8349,3.69111,15834.68337,2685.62622,1654.61931,5160.44291,316.69215
13,2026-03-22 08:13:31,PowerTrust,YES,0.7953,3.35026,13550.16117,3429.16697,1330.04513,6804.20606,313.91974
14,2026-03-22 08:14:38,PowerTrust,YES,0.76612,3.77579,18061.86385,5830.71634,1460.13689,5740.22444,388.66177
15,2026-03-22 08:15:45,PowerTrust,YES,0.78728,3.56362,20472.13722,7581.57782,1767.47784,7124.57267,461.82207
16,2026-03-22 08:16:52,PowerTrust,YES,0.81768,3.72602,14720.60432,4045.59185,1806.55862,4943.64808,318.95504
17,2026-03-22 08:17:59,PowerTrust,YES,0.84506,3.31661,13853.95473,4946.89448,682.8422,2575.105,275.73496
18,2026-03-22 08:18:06,PowerTrust,YES,0.83127,5.22297,13468.76569,6904.69058,1323.58694,6024.36697,346.51763
19,2026-03-22 08:19:13,PowerTrust,YES,0.85742,4.83282,11994.16516,6769.64019,1384.09049,6220.47798,329.60467
20,2026-03-22 08:20:20,PowerTrust,YES,0.77958,4.69431,15188.01451,7572.88985,1751.00062,2168.23564,333.50176
21,2026-03-22 08:21:27,PowerTrust,YES,0.84166,5.08051,11684.92742,2478.71501,1670.71543,2916.50406,234.38577
22,2026-03-22 08:22:34,PowerTrust,YES,0.81408,4.40051,21182.22637,4921.98705,1266.27142,4177.8416,394.35408
23,2026-03-22 08:23:41,PowerTrust,YES,0.75475,4.63515,17923.16139,4177.05939,1292.86036,7039.0262,380.40134
24,2026-03-22 08:24:48,PowerTrust,YES,0.82191,4.08973,20998.25715,5307.25407,497.89529,7138.27225,424.27098
25,2026-03-22 08:25:55,PowerTrust,YES,0.82984,5.29777,16674.57448,3144.22276,556.20786,5393.49556,322.10626
26,2026-03-22 08:26:02,PowerTrust,YES,0.79243,3.95726,12293.72097,7402.5286,1667.10109,2427.15745,297.38135
27,2026-03-22 08:27:09,PowerTrust,YES,0.83177,4.56975,11650.74222,4723.2748,1078.00745,6263.9896,296.45018
28,2026-03-22 08:28:16,PowerTrust,YES,0.8402,4.23037,15783.778,6952.58367,1137.95797,4962.35536,360.45844
29,2026-03-22 08:29:23,PowerTrust,YES,0.79802,4.02244,10752.9066,3880.85839,1120.39383,3149.63164,236.29738
30,2026-03-22 08:30:30,PowerTrust,YES,0.80762,3.69769,15198.38181,7075.72357,1139.55146,2745.04498,326.98377
31,2026-03-22 08:31:37,PowerTrust,YES,0.78332,3.11455,11157.16422,2204.78621,636.37975,4223.28734,227.77022
32,2026-03-22 08:32:44,PowerTrust,YES,0.77902,3.19625,15938.57916,2593.73552,1389.74652,2910.60425,285.40832
33,2026-03-22 08:33:51,PowerTrust,YES,0.78355,4.4093,15395.97926,5736.96825,1338.38214,3368.14799,322.99347
34,2026-03-22 08:34:58,PowerTrust,YES,0.83119,4.44973,20062.0969,2550.76822,1216.75136,1981.28182,322.63623
35,2026-03-22 08:35:05,PowerTrust,YES,0.84409,5.31793,17041.13933,4699.98209,1331.15915,7160.48212,377.90953
36,2026-03-22 08:36:12,PowerTrust,YES,0.78408,3.30021,10455.41028,2582.30564,511.60394,7142.28395,258.64505
37,2026-03-22 08:37:19,PowerTrust,YES,0.79819,4.50254,19148.12921,3028.66666,899.2483,4429.32672,343.81714
38,2026-03-22 08:38:26,PowerTrust,YES,0.82648,5.31328,15580.67902,6807.84992,1285.90773,3027.16055,333.76997
39,2026-03-22 08:39:33,PowerTrust,YES,0.81882,4.71142,21270.2537,6744.68187,1492.42651,5137.7416,433.0638
40,2026-03-22 08:40:40,PowerTrust,YES,0.81465,4.46759,17901.08067,6564.29419,1153.54603,5771.45326,392.37968
